PAT_COUNTY,F,M
1,71.46535882543223,69.12205722792723
3,55.83036651089736,50.09901842066118
5,76.63800751708163,74.70586557093715
7,69.1613224808227,55.82767847010264
9,63.016219059930066,71.5981531813944
11,34.40422403664293,35.792331810120984
13,62.91910708540431,66.02009431624012
15,66.66152133261973,64.71199863517317
17,29.506799856423036,28.85230184471206
19,77.83244334271579,66.2086757834911
21,76.5235983373181,69.27955716797536
23,44.07311717570479,24.349731055510215
25,69.16027832889782,58.62614128343632
27,83.9741547204351,75.79239359003184
29,82.02684002276403,74.51650278381415
31,56.317063435452816,58.18706037727972
35,69.22131761999,55.941406338259256
37,75.68295196549965,69.24038801030729
39,80.47959832956629,70.1350754061362
41,79.94050587650746,69.00664531333729
43,47.511975182186305,52.27450407101202
45,30.87330866038306,26.735313881498037
47,65.85124333550525,51.965856343962955
49,49.58547455580682,53.32711462501669
51,43.716486727540314,49.74273131961058
53,72.22904405875782,72.7863517949876
55,66.9327305430104,68.50995487653486
57,65.4589219203673,52.71597142119272
59,63.51382517736266,60.636287281126044
61,75.08903854778106,74.83444211929937
63,53.68205113053228,55.45593853416213
65,56.684767937679496,50.78013826069615
67,71.40760845904578,66.68185880930854
69,26.735313881498037,55.727616002729484
71,67.9714863778409,55.351586432915134
73,75.0467111836843,65.98051156219988
75,57.19112346395444,52.702236007828375
77,65.03902088831731,56.87026841025254
79,,31.45951378297743
81,59.36660522752355,28.72411260056793
83,33.74809733425816,48.108445266532684
85,83.79906762163549,74.80195403936256
87,53.759937344201944,27.3791413688804
89,58.017418012498865,64.46277755398123
91,80.45182767427451,67.6736339300739
93,,16.74453888423023
95,57.857586414731955,45.264954677389255
97,52.20298410681301,56.961187528679645
99,78.5758897725581,63.882927328803106
101,33.99723614346802,16.74453888423023
103,27.867841748491486,33.629037992118086
105,64.09821153879567,49.91452546758758
107,53.86390484811522,39.44208147103653
109,,28.637348752436985
111,54.63995464154895,50.86738460356264
113,80.20342678001613,75.48805087568925
115,53.75630706620651,54.99494198301933
117,61.20405578488377,56.51451586392352
119,57.3050545061726,32.323034849619425
121,79.42282121399477,73.35095734700798
123,63.19167676478534,54.44810113633761
125,16.74453888423022,36.57607567513165
127,24.43801383759482,43.65659133262888
129,50.01246178247234,40.077359813298564
